rank,tier,cluster,url,primary_keyword,absorbs,kw_count,volume,kd,cpc,intent,page_type,data_confidence,lead_potential,blocker,rationale
23,3,Materials,/flat-roof-cost,flat roof cost,flat roof replacement cost; tpo roof cost; epdm roof cost; modified bitumen cost; foam roof cost,10,NEEDS_SEMRUSH,NEEDS_SEMRUSH,medium,commercial,calculator,SAMPLE,medium,materials,"CORRECTION to my earlier advice: I said do not build TPO/EPDM as commercial-only. Half right. TPO and EPDM as named membranes do skew commercial, but residential low-slope is real - Phoenix foam, row houses, patio sections - and our catalog already carries tpo-membrane, modified-bitumen and spf-foam. Build ONE homeowner-framed flat-roof page, not separate TPO and EPDM pages."
24,3,Materials,/tile-roof-cost,tile roof cost,clay tile roof cost; concrete tile roof cost; tile roof replacement cost; tile underlayment cost,7,NEEDS_SEMRUSH,NEEDS_SEMRUSH,medium,commercial,calculator,SAMPLE,high,materials,"Passes R5 - lift-and-relay is a genuinely different job. Regional (Phoenix/Florida), so pair with those city pages rather than shipping national."
25,3,Repair,/roof-repair-vs-replacement,roof repair vs replacement,should i repair or replace my roof; when to replace a roof; is it cheaper to repair or replace a roof,6,NEEDS_SEMRUSH,NEEDS_SEMRUSH,medium,informational,tool,NOT MODELLED,medium,repair engine,Genuinely useful and less saturated than generic cost content. Requires a repair cost model that does not exist - repair is not a scaled-down replacement.
26,3,Repair,/roof-repair-cost,roof repair cost,roof leak repair cost; roof repair estimate; roof repair cost calculator,4,NEEDS_SEMRUSH,NEEDS_SEMRUSH,medium,commercial,calculator,NOT MODELLED,medium,repair engine,"Different job, different engine. Build the model before the page."
27,3,Materials,/slate-roof-cost,slate roof cost,natural slate roof cost; synthetic slate roof cost; slate roof cost per square foot,4,NEEDS_SEMRUSH,NEEDS_SEMRUSH,medium,commercial,calculator,SAMPLE,medium,materials,"High ticket, low volume, Northeast-regional. Wait for Search Console evidence."
28,3,Materials,/cedar-shake-roof-cost,cedar shake roof cost,cedar shingle roof cost; wood shake roof cost; wood shingle roof cost,4,10*,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,calculator,SAMPLE,low,materials,10/mo. Cluster member at best. Building this standalone IS the KD-1-percent trap.
29,3,Complexity,/steep-roof-replacement-cost,steep roof replacement cost,roof pitch cost; hip roof cost; complex roof replacement cost; dormer cost,6,NEEDS_SEMRUSH,NEEDS_SEMRUSH,low,commercial,calculator,"VERIFIED geometry, sample prices",medium,materials,Better as calculator INPUTS than as pages. Only promote to a page if Search Console shows impressions.
30,3,Insurance,/roof-insurance-claim-estimate,does homeowners insurance cover roof replacement,roof insurance claim; hail damage roof; storm damage roof; how to get insurance to pay for roof,12,NEEDS_SEMRUSH,NEEDS_SEMRUSH,high,commercial,tool,ENGINE CANNOT ANSWER,high,different engine,"Highest lead value in the whole list and I still say wait. It is an INSURANCE question - is my adjuster's scope fair - not a retail cost question. Our engine models retail. Ranking then answering a different question earns a bounce. Build the adjuster-scope comparison first, then the page."
-,NO,-,/cost-of-roofing-felt-paper,cost of roofing felt paper,,1,40,1,NEEDS_SEMRUSH,commercial,-,-,low,-,DO NOT BUILD. Fold into /roofing-underlayment-cost. KD 1% is never a reason on its own.
-,NO,-,/tpo-roof-cost + /epdm-roof-cost as separate pages,tpo roof cost,,4,30,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,-,-,low,-,DO NOT BUILD SEPARATELY. Merge into /flat-roof-cost. Named-membrane searches skew commercial; the homeowner framing is 'flat roof'.
-,NO,-,/best-roofing-contractor-{city},best roofing contractor,,1,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,-,-,high,-,DO NOT BUILD. No vetted network exists. The page would be a lie.
-,NO,-,one page per size (11 pages),1200 sq ft roof replacement cost,,11,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,-,-,medium,-,DO NOT BUILD. Rule R4. 2000 and 2200 sq ft produce the same page. Use the size hub with a selector.
-,NO,-,50 state pages,roof replacement cost {state},,50,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,-,-,high,-,"DO NOT BUILD. Rules R1+R2. We have metro pricing for 13 metros, not 50 states. 37 would be national fallback wearing a state name."
-,NO,-,Ohio and Connecticut metros,roof replacement cost cleveland,,4,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,commercial,-,-,low,-,"DO NOT BUILD. BLS: Ohio's 3,790 roofers are fragmented, Cleveland only 780. Connecticut is 660 statewide."
-,NO,-,question keywords as standalone pages,how much does a new roof cost,,14,NEEDS_SEMRUSH,NEEDS_SEMRUSH,NEEDS_SEMRUSH,informational,-,-,medium,-,DO NOT BUILD. All 14 question keywords are H2s and FAQ blocks inside the cost pages above. Separate pages would cannibalise them.
-,NO,-,solar / hvac / windows / siding,,,0,,,,,-,-,-,-,DO NOT BUILD. Materials are unsolved for roofing. A second vertical multiplies the data problem instead of solving it.
